freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.814e+02,2.616e+02,7.037e+02,1.547e+03
1.5,6.183e+02,4.325e+02,7.262e+02,1.777e+03
2.9,4.150e+02,4.052e+02,4.717e+02,1.292e+03
4.4,4.520e+02,4.066e+02,5.599e+02,1.419e+03
5.8,7.758e+02,4.050e+02,1.139e+03,2.320e+03
7.3,1.040e+03,4.291e+02,1.755e+03,3.225e+03
8.7,1.393e+03,4.777e+02,2.253e+03,4.124e+03
10.2,1.888e+03,5.395e+02,2.942e+03,5.369e+03
11.6,2.375e+03,5.844e+02,3.891e+03,6.851e+03
13.1,3.014e+03,5.921e+02,5.240e+03,8.846e+03
14.6,3.085e+03,5.498e+02,5.893e+03,9.528e+03
16.0,2.835e+03,5.509e+02,5.396e+03,8.782e+03
17.5,3.381e+03,5.516e+02,6.122e+03,1.005e+04
18.9,3.957e+03,4.795e+02,7.609e+03,1.205e+04
20.4,4.674e+03,3.799e+02,9.233e+03,1.429e+04
21.8,5.545e+03,3.815e+02,1.099e+04,1.692e+04
23.3,6.747e+03,3.660e+02,1.324e+04,2.036e+04
24.7,8.140e+03,3.534e+02,1.591e+04,2.440e+04
26.2,9.932e+03,4.176e+02,1.903e+04,2.938e+04
27.7,1.235e+04,4.190e+02,2.164e+04,3.440e+04
29.1,1.382e+04,3.898e+02,2.395e+04,3.816e+04
30.6,1.514e+04,3.620e+02,2.620e+04,4.170e+04
32.0,1.649e+04,3.482e+02,2.915e+04,4.599e+04
33.5,1.824e+04,3.584e+02,3.303e+04,5.163e+04
34.9,2.038e+04,4.141e+02,3.663e+04,5.743e+04
36.4,2.202e+04,5.887e+02,4.022e+04,6.283e+04
37.8,2.459e+04,5.768e+02,4.470e+04,6.986e+04
39.3,2.706e+04,5.593e+02,4.952e+04,7.714e+04
40.7,3.025e+04,5.702e+02,5.591e+04,8.673e+04
42.2,3.388e+04,6.925e+02,6.268e+04,9.725e+04
43.7,3.720e+04,8.521e+02,6.925e+04,1.073e+05
45.1,4.025e+04,9.637e+02,7.687e+04,1.181e+05
46.6,4.439e+04,1.047e+03,8.660e+04,1.320e+05
48.0,5.111e+04,1.231e+03,9.420e+04,1.465e+05
49.5,5.881e+04,1.460e+03,1.030e+05,1.633e+05
50.9,6.646e+04,1.777e+03,1.144e+05,1.827e+05
52.4,7.299e+04,2.013e+03,1.256e+05,2.006e+05
53.8,8.114e+04,2.036e+03,1.390e+05,2.222e+05
55.3,9.551e+04,2.122e+03,1.593e+05,2.569e+05
56.8,1.211e+05,2.055e+03,1.987e+05,3.219e+05
58.2,1.479e+05,2.144e+03,2.390e+05,3.890e+05
59.7,1.677e+05,2.670e+03,2.674e+05,4.378e+05
61.1,2.042e+05,3.853e+03,3.256e+05,5.336e+05
62.6,2.392e+05,5.046e+03,3.744e+05,6.187e+05
64.0,2.663e+05,7.000e+03,3.802e+05,6.535e+05
65.5,3.384e+05,1.178e+04,4.748e+05,8.250e+05
66.9,4.974e+05,2.170e+04,6.740e+05,1.193e+06
68.4,7.775e+05,4.046e+04,1.004e+06,1.822e+06
69.9,1.105e+06,6.230e+04,1.401e+06,2.569e+06
71.3,1.334e+06,7.956e+04,1.705e+06,3.119e+06
72.8,1.810e+06,1.267e+05,2.243e+06,4.180e+06
74.2,2.838e+06,2.494e+05,3.317e+06,6.405e+06
75.7,3.754e+06,3.904e+05,4.133e+06,8.276e+06
77.1,3.887e+06,4.552e+05,4.093e+06,8.435e+06
78.6,3.344e+06,4.332e+05,3.492e+06,7.269e+06
80.0,2.671e+06,4.069e+05,2.938e+06,6.015e+06
81.5,2.169e+06,4.234e+05,2.484e+06,5.076e+06
83.0,1.806e+06,4.761e+05,2.135e+06,4.417e+06
84.4,1.508e+06,5.218e+05,1.876e+06,3.906e+06
85.9,1.296e+06,5.524e+05,1.646e+06,3.495e+06
87.3,1.094e+06,5.813e+05,1.420e+06,3.095e+06
88.8,9.349e+05,6.219e+05,1.225e+06,2.782e+06
