freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.822e+02,1.682e+02,1.191e+02,4.695e+02
1.5,5.138e+02,5.534e+02,3.962e+02,1.463e+03
2.9,5.188e+02,6.407e+02,4.231e+02,1.583e+03
4.4,6.654e+02,5.853e+02,5.361e+02,1.787e+03
5.8,1.276e+03,4.939e+02,7.761e+02,2.546e+03
7.3,1.903e+03,4.897e+02,1.072e+03,3.465e+03
8.7,2.589e+03,5.303e+02,1.353e+03,4.472e+03
10.2,3.163e+03,5.158e+02,1.654e+03,5.333e+03
11.6,4.034e+03,4.407e+02,1.987e+03,6.462e+03
13.1,5.563e+03,4.226e+02,2.722e+03,8.708e+03
14.6,5.939e+03,4.038e+02,3.304e+03,9.646e+03
16.0,5.301e+03,3.804e+02,2.980e+03,8.662e+03
17.5,6.144e+03,3.728e+02,3.081e+03,9.597e+03
18.9,7.396e+03,3.991e+02,3.650e+03,1.144e+04
20.4,9.003e+03,4.004e+02,4.392e+03,1.380e+04
21.8,1.094e+04,3.885e+02,5.504e+03,1.683e+04
23.3,1.334e+04,3.873e+02,6.589e+03,2.032e+04
24.7,1.581e+04,3.927e+02,7.657e+03,2.386e+04
26.2,1.795e+04,3.729e+02,8.974e+03,2.729e+04
27.7,2.007e+04,3.993e+02,9.808e+03,3.028e+04
29.1,2.291e+04,3.895e+02,1.099e+04,3.429e+04
30.6,2.623e+04,3.713e+02,1.239e+04,3.900e+04
32.0,2.841e+04,3.889e+02,1.346e+04,4.226e+04
33.5,2.984e+04,4.000e+02,1.439e+04,4.463e+04
34.9,3.255e+04,4.171e+02,1.580e+04,4.877e+04
36.4,3.527e+04,5.105e+02,1.770e+04,5.349e+04
37.8,3.826e+04,5.767e+02,1.966e+04,5.849e+04
39.3,4.093e+04,5.216e+02,2.037e+04,6.182e+04
40.8,4.092e+04,5.073e+02,2.071e+04,6.214e+04
42.2,3.865e+04,4.650e+02,2.008e+04,5.919e+04
43.7,3.026e+04,3.975e+02,1.618e+04,4.683e+04
45.1,2.227e+04,4.060e+02,1.218e+04,3.485e+04
46.6,1.730e+04,4.372e+02,9.713e+03,2.745e+04
48.0,1.695e+04,4.191e+02,9.720e+03,2.709e+04
49.5,1.727e+04,4.299e+02,1.015e+04,2.784e+04
51.0,1.734e+04,4.344e+02,9.950e+03,2.772e+04
52.4,1.756e+04,3.744e+02,9.623e+03,2.755e+04
53.9,1.929e+04,3.486e+02,1.025e+04,2.988e+04
55.3,2.087e+04,3.854e+02,1.093e+04,3.219e+04
56.8,2.229e+04,4.048e+02,1.201e+04,3.470e+04
58.2,2.400e+04,4.292e+02,1.330e+04,3.773e+04
59.7,2.507e+04,5.137e+02,1.418e+04,3.977e+04
61.1,2.555e+04,5.993e+02,1.497e+04,4.112e+04
62.6,2.120e+04,6.279e+02,1.320e+04,3.503e+04
64.1,1.876e+04,7.564e+02,1.143e+04,3.095e+04
65.5,2.116e+04,8.452e+02,1.234e+04,3.434e+04
67.0,2.326e+04,9.618e+02,1.360e+04,3.782e+04
68.4,2.437e+04,1.222e+03,1.461e+04,4.021e+04
69.9,2.619e+04,1.494e+03,1.627e+04,4.396e+04
71.3,2.837e+04,1.932e+03,1.804e+04,4.834e+04
72.8,3.248e+04,2.396e+03,2.104e+04,5.592e+04
74.2,3.957e+04,3.184e+03,2.636e+04,6.911e+04
75.7,4.942e+04,4.780e+03,3.437e+04,8.857e+04
77.2,5.926e+04,6.973e+03,4.505e+04,1.113e+05
78.6,7.165e+04,1.082e+04,5.934e+04,1.418e+05
80.1,8.782e+04,1.751e+04,7.830e+04,1.836e+05
81.5,1.028e+05,2.824e+04,1.032e+05,2.343e+05
83.0,1.143e+05,4.484e+04,1.323e+05,2.914e+05
84.4,1.121e+05,6.530e+04,1.553e+05,3.327e+05
85.9,9.550e+04,8.686e+04,1.652e+05,3.475e+05
87.3,7.953e+04,1.167e+05,1.779e+05,3.741e+05
88.8,6.508e+04,1.747e+05,2.050e+05,4.448e+05
90.3,5.192e+04,2.461e+05,2.230e+05,5.211e+05
91.7,4.779e+04,2.517e+05,1.789e+05,4.784e+05
93.2,5.322e+04,1.973e+05,1.108e+05,3.614e+05
94.6,7.766e+04,1.515e+05,6.947e+04,2.986e+05
96.1,1.951e+05,2.811e+05,9.489e+04,5.711e+05
97.5,2.256e+05,8.889e+05,1.669e+05,1.281e+06
99.0,1.441e+05,1.720e+06,1.440e+05,2.008e+06
100.4,2.505e+05,1.952e+06,6.903e+04,2.272e+06
101.9,3.641e+05,1.365e+06,2.341e+04,1.753e+06
103.4,4.834e+05,8.612e+05,2.114e+04,1.366e+06
104.8,5.446e+05,5.242e+05,3.519e+04,1.104e+06
106.3,4.876e+05,3.608e+05,4.436e+04,8.928e+05
107.7,4.495e+05,3.157e+05,4.663e+04,8.119e+05
109.2,4.393e+05,2.587e+05,5.066e+04,7.486e+05
110.6,4.291e+05,2.051e+05,5.781e+04,6.920e+05
112.1,3.995e+05,1.606e+05,6.789e+04,6.280e+05
113.5,3.688e+05,1.260e+05,7.867e+04,5.735e+05
115.0,3.529e+05,1.048e+05,8.815e+04,5.459e+05
116.5,3.393e+05,9.094e+04,8.987e+04,5.201e+05
